"ts_code","trade_date","close","pre_close","pre_settle","open","high","low","settle","change1","change2","vol","amount","oi","oi_chg","delv_settle"
"ICL.CFX","20250530","5627.8","5668.6","5662.4","5641.8","5645","5590.2","5619.8","-34.6","-42.6","53557","6013764.78","101945","",""
"ICL.CFX","20250529","5668.6","5568","5563.6","5585","5685.2","5572","5662.4","105","98.8","68773","7762509.656","112167","",""
"ICL.CFX","20250528","5568","5578","5582.6","5587.2","5596","5549","5563.6","-14.6","-19","42102","4687166.344","104395","",""
"ICL.CFX","20250527","5578","5594.6","5591.6","5591.4","5599.8","5545.2","5582.6","-13.6","-9","52001","5792721.612","109673","",""
"ICL.CFX","20250526","5594.6","5561.8","5576.4","5561.8","5622","5560","5591.6","18.2","15.2","56454","6312149.668","110791","",""
"ICL.CFX","20250523","5561.8","5614.8","5615.4","5608","5664.8","5557","5576.4","-53.6","-39","67871","7618239.54","118330","",""
"ICL.CFX","20250522","5614.8","5655.6","5654.4","5650.4","5686.6","5598","5615.4","-39.6","-39","53832","6057754.52","116140","",""
"ICL.CFX","20250521","5655.6","5650.8","5648.2","5638.2","5665.8","5628","5654.4","7.4","6.2","39909","4509319.108","111497","",""
"ICL.CFX","20250520","5650.8","5623","5618.2","5630.2","5663","5596.6","5648.2","32.6","30","45384","5110431.136","112947","",""
"ICL.CFX","20250519","5623","5723.6","5610","5600","5628","5548.2","5618.2","13","8.2","51297","5735197.872","118428","",""
"ICL.CFX","20250516","5723.6","5720.8","5719.4","5719.6","5739.8","5705.6","5723.01","4.2","3.61","12812","1466765.768","0","",""
"ICL.CFX","20250515","5720.8","5800","5786.4","5785","5787.2","5708","5719.4","-65.6","-67","21933","2516838.164","15008","",""
"ICL.CFX","20250514","5800","5767.2","5767.2","5770.2","5844.2","5741","5786.4","32.8","19.2","34192","3952516.976","27894","",""
"ICL.CFX","20250513","5767.2","5786","5773.8","5815.2","5815.2","5754","5767.2","-6.6","-6.6","25709","2969891.412","32665","",""
"ICL.CFX","20250512","5786","5702.4","5704.8","5753.6","5791","5722.2","5773.8","81.2","69","25583","2947445.408","39690","",""
"ICL.CFX","20250509","5702.4","5752","5751.8","5741","5751","5680","5704.8","-49.4","-47","24125","2755022.14","42009","",""
"ICL.CFX","20250508","5752","5718.2","5704.6","5704.6","5772.4","5704","5751.8","47.4","47.2","25952","2982423.764","46141","",""
"ICL.CFX","20250507","5718.2","5705.6","5704.2","5818","5818","5684","5704.6","14","0.4","31807","3649641.996","48067","",""
"ICL.CFX","20250506","5705.6","5590.2","5598.8","5620.4","5710","5620.4","5704.2","106.8","105.4","28439","3233769.48","48094","",""
"ICL.CFX","20250430","5590.2","5573.8","5572.8","5580.8","5618.4","5570.2","5598.8","17.4","26","21929","2455880.928","46587","",""
"ICL.CFX","20250429","5573.8","5556","5560.4","5546.8","5591.8","5527","5572.8","13.4","12.4","19806","2204953.992","47845","",""
"ICL.CFX","20250428","5556","5582.2","5585.8","5580.2","5594.8","5534.2","5560.4","-29.8","-25.4","20610","2291555.284","50145","",""
"ICL.CFX","20250425","5582.2","5564.4","5563","5579.6","5630.4","5553","5585.8","19.2","22.8","24649","2756888.396","51496","",""
"ICL.CFX","20250424","5564.4","5580.4","5580.2","5575","5602.6","5530.8","5563","-15.8","-17.2","23876","2658334.8","51508","",""
"ICL.CFX","20250423","5580.4","5568","5579.8","5598","5644","5560","5580.2","0.6","0.4","26260","2937518.4","53436","",""
"ICL.CFX","20250422","5568","5578.8","5587","5582.4","5599","5553","5579.8","-19","-7.2","22080","2461099.128","52209","",""
"ICL.CFX","20250421","5578.8","5552.2","5502.4","5477","5602.2","5457.6","5587","76.4","84.6","30005","3333033.272","53502","",""
"ICL.CFX","20250418","5552.2","5551.2","5568.2","5546","5564.4","5521","5552.23","-16","-15.97","16485","1825842.748","0","",""
"ICL.CFX","20250417","5551.2","5540.4","5525.2","5523","5610.2","5521.8","5568.2","26","43","34523","3852603.42","21987","",""
