"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"ICL2.CFX","20250603","5452","5443.2","5425.2","5491.8","5425","5455.2","5462.8","12","19.6","12929","1411936.436","64092",""
"ICL2.CFX","20250530","5492.8","5486.4","5466","5466","5414","5452","5443.2","-34.4","-43.2","15269","1660636.172","62532",""
"ICL2.CFX","20250529","5383.4","5378.2","5386.6","5518.4","5386.6","5492.8","5486.4","114.6","108.2","21846","2390751.124","64612",""
"ICL2.CFX","20250528","5388.4","5390.6","5403.4","5404.6","5363.6","5383.4","5378.2","-7.2","-12.4","11259","1211266.324","59902",""
"ICL2.CFX","20250527","5400","5396.2","5385","5407.8","5350.6","5388.4","5390.6","-7.8","-5.6","12842","1380731.724","60345",""
"ICL2.CFX","20250526","5377.6","5390.2","5390.6","5426","5367.4","5400","5396.2","9.8","6","15526","1675323.836","60264",""
"ICL2.CFX","20250523","5426.2","5422","5423","5473.4","5371.6","5377.6","5390.2","-44.4","-31.8","17344","1880585.356","60805",""
"ICL2.CFX","20250522","5460.8","5456.2","5445.2","5474.8","5402.2","5426.2","5422","-30","-34.2","13088","1421426.12","58432",""
"ICL2.CFX","20250521","5455","5447.2","5439.8","5464.6","5430.8","5460.8","5456.2","13.6","9","10665","1162575.904","57620",""
"ICL2.CFX","20250520","5435.2","5432.8","5452.6","5465","5404.2","5455","5447.2","22.2","14.4","12423","1349899.456","56886",""
"ICL2.CFX","20250519","5435.2","5439.6","5430.2","5442.4","5372.8","5435.2","5432.8","-4.4","-6.8","14183","1535397.272","57881",""
"ICL2.CFX","20250516","5455.4","5449.8","5451.2","5475.6","5429.6","5435.2","5439.6","-14.6","-10.2","11804","1287608.56","55544",""
"ICL2.CFX","20250515","5533","5519.8","5513","5523","5437","5455.4","5449.8","-64.4","-70","12174","1331225.66","54727",""
"ICL2.CFX","20250514","5492","5490.4","5490","5582.2","5469.2","5533","5519.8","42.6","29.4","16925","1865723.888","55640",""
"ICL2.CFX","20250513","5524.6","5511.8","5556.2","5556.2","5478.4","5492","5490.4","-19.8","-21.4","12904","1421074.036","52572",""
"ICL2.CFX","20250512","5455.8","5455","5496","5531.2","5477.4","5524.6","5511.8","69.6","56.8","12705","1398226.736","52048",""
"ICL2.CFX","20250509","5515.2","5513.2","5504.8","5508.8","5437","5455.8","5455","-57.4","-58.2","10157","1109890.552","50380",""
"ICL2.CFX","20250508","5482.6","5473.6","5464.8","5544.8","5464.8","5515.2","5513.2","41.6","39.6","11234","1239200.972","48917",""
"ICL2.CFX","20250507","5484","5483.6","5558.2","5602","5455","5482.6","5473.6","-1","-10","14860","1637650.208","49355",""
"ICL2.CFX","20250506","5365.6","5378.2","5400.2","5488.8","5400.2","5484","5483.6","105.8","105.4","10467","1143915.004","46098",""
"ICL2.CFX","20250430","5360.8","5360.6","5364.8","5403","5357.8","5365.6","5378.2","5","17.6","8218","884612.984","44900",""
"ICL2.CFX","20250429","5344.8","5347.6","5330.8","5377.6","5315","5360.8","5360.6","13.2","13","7370","789232.424","44957",""
"ICL2.CFX","20250428","5371.4","5371.6","5370","5380","5318.2","5344.8","5347.6","-26.8","-24","7129","762159.4","44165",""
"ICL2.CFX","20250425","5350.6","5346.8","5363.8","5416.6","5338.2","5371.4","5371.6","24.6","24.8","9279","998184.62","45386",""
"ICL2.CFX","20250424","5366.6","5367.4","5375","5386.2","5316","5350.6","5346.8","-16.8","-20.6","8117","868855.184","44826",""
"ICL2.CFX","20250423","5353.2","5363.8","5393","5429.4","5348","5366.6","5367.4","2.8","3.6","10365","1114715.42","45398",""
"ICL2.CFX","20250422","5365.4","5375.2","5366","5380.8","5336","5353.2","5363.8","-22","-11.4","9047","969079.336","45553",""
"ICL2.CFX","20250421","5400","5294","5266","5389","5248","5365.4","5375.2","71.4","81.2","11008","1176499.44","47213",""
"ICL2.CFX","20250418","5406.6","5422.2","5406.6","5446","5366","5400","5423.8","-22.2","1.6","42314","4571413.032","100600",""
"ICL2.CFX","20250417","5366.6","5355.4","5351","5454","5347","5406.6","5422.2","51.2","66.8","44149","4789119.928","99918",""
"ICL2.CFX","20250416","5415.6","5407.8","5400","5403.6","5316.2","5366.6","5355.4","-41.2","-52.4","38543","4128663.932","96381",""
"ICL2.CFX","20250415","5437.4","5446.2","5437.4","5453.8","5381","5415.6","5407.8","-30.6","-38.4","32729","3539350.752","96651",""
"ICL2.CFX","20250414","5424.2","5439.2","5470","5498","5436","5437.4","5446.2","-1.8","7","29820","3257808.592","93663",""
"ICL2.CFX","20250411","5381.2","5399","5381.2","5488.6","5361.8","5424.2","5439.2","25.2","40.2","40616","4401292.228","96669",""
"ICL2.CFX","20250410","5262.8","5277.2","5359.8","5469","5359.8","5381.2","5399","104","121.8","53950","5836812.868","97111",""
"ICL2.CFX","20250409","5139.4","5100.4","5050","5306.8","4966.2","5262.8","5277.2","162.4","176.8","75409","7792461.92","104653",""
"ICL2.CFX","20250408","5139","5139","5175","5235","5054","5139.4","5100.4","0.4","-38.6","73760","7592614.216","103912",""
"ICL2.CFX","20250407","5712.2","5710","5475","5530.4","5139","5139","5139","-571","-571","66326","7007289.884","102983",""
"ICL2.CFX","20250403","5759.4","5757.8","5710","5777","5680.4","5712.2","5710","-45.6","-47.8","39622","4535631.148","103143",""
"ICL2.CFX","20250402","5738.6","5742.4","5735","5795.6","5732","5759.4","5757.8","17","15.4","25553","2945767.636","95877",""
"ICL2.CFX","20250401","5710.8","5700","5722.8","5784.2","5712.2","5738.6","5742.4","38.6","42.4","33566","3860059.364","98348",""
"ICL2.CFX","20250331","5766.8","5779.6","5745.6","5774","5647","5710.8","5700","-68.8","-79.6","43141","4923908.988","102435",""
"ICL2.CFX","20250328","5819","5820","5821.8","5837.6","5752.4","5766.8","5779.6","-53.2","-40.4","33059","3826156.052","98522",""
"ICL2.CFX","20250327","5795","5807.2","5791.6","5862.8","5733.4","5819","5820","11.8","12.8","38074","4421212.184","101398",""
"ICL2.CFX","20250326","5794","5786.2","5794.6","5845","5790.4","5795","5807.2","8.8","21","32432","3771365.464","99396",""
"ICL2.CFX","20250325","5802","5779","5795.8","5831","5763.4","5794","5786.2","15","7.2","33411","3872299.276","100043",""
