"ts_code","trade_date","close","pre_close","pre_settle","open","high","low","settle","change1","change2","vol","amount","oi","oi_chg","delv_settle"
"IFL.CFX","20250530","3822.4","3832.8","3835.4","3825","3830.8","3792","3820.6","-13","-14.8","63806","7296194.058","122449","",""
"IFL.CFX","20250529","3832.8","3805","3806.8","3814.6","3853.6","3803","3835.4","26","28.6","70602","8118335.382","136268","",""
"IFL.CFX","20250528","3805","3809.2","3812.8","3815","3821.6","3800.6","3806.8","-7.8","-6","45973","5254196.04","129593","",""
"IFL.CFX","20250527","3809.2","3831.2","3828.6","3828.2","3834.6","3802","3812.8","-19.4","-15.8","54529","6243817.308","140116","",""
"IFL.CFX","20250526","3831.2","3846.2","3854.6","3846.2","3856.8","3817.4","3828.6","-23.4","-26","62863","7233890.574","138782","",""
"IFL.CFX","20250523","3846.2","3879.6","3880.4","3875.2","3904.8","3846","3854.6","-34.2","-25.8","78281","9105287.964","152612","",""
"IFL.CFX","20250522","3879.6","3881.2","3881.6","3878","3889.8","3864","3880.4","-2","-1.2","52835","6147406.53","143884","",""
"IFL.CFX","20250521","3881.2","3865.4","3864.6","3865.4","3894.6","3863.8","3881.6","16.6","17","56306","6558679.524","146414","",""
"IFL.CFX","20250520","3865.4","3843.2","3841.2","3847","3878","3839.4","3864.6","24.2","23.4","52572","6084452.85","150105","",""
"IFL.CFX","20250519","3843.2","3886.6","3846.4","3840","3848","3821.8","3841.2","-3.2","-5.2","48882","5623576.806","149439","",""
"IFL.CFX","20250516","3886.6","3908.2","3908.2","3905.6","3911.4","3875","3887.04","-21.6","-21.16","12359","1442501.088","0","",""
"IFL.CFX","20250515","3908.2","3943","3937.2","3935","3938.8","3901.8","3908.2","-29","-29","20365","2392954.584","19193","",""
"IFL.CFX","20250514","3943","3892","3892.2","3892.2","3965.4","3891","3937.2","50.8","45","33690","3962167.386","30595","",""
"IFL.CFX","20250513","3892","3885","3882.6","3902.2","3904.8","3881.6","3892.2","9.4","9.6","24017","2803267.59","33454","",""
"IFL.CFX","20250512","3885","3840.2","3839.2","3869.2","3890","3853.4","3882.6","45.8","43.4","31355","3642916.032","42225","",""
"IFL.CFX","20250509","3840.2","3845.8","3846","3838.8","3846.6","3826.2","3839.2","-5.8","-6.8","22554","2596096.908","40133","",""
"IFL.CFX","20250508","3845.8","3817.2","3811.8","3811","3865","3810","3846","34","34.2","31414","3621976.458","46173","",""
"IFL.CFX","20250507","3817.2","3797.6","3796.4","3854","3864.2","3803.4","3811.8","20.8","15.4","28654","3286102.224","45962","",""
"IFL.CFX","20250506","3797.6","3752","3756.4","3771.8","3802.8","3769.2","3796.4","41.2","40","28609","3253033.164","46669","",""
"IFL.CFX","20250430","3752","3757.8","3758.4","3765.8","3780","3751.8","3756.4","-6.4","-2","20059","2263574.448","48409","",""
"IFL.CFX","20250429","3757.8","3762.2","3765.6","3762.2","3772.8","3748.6","3758.4","-7.8","-7.2","17994","2029214.082","46271","",""
"IFL.CFX","20250428","3762.2","3774.8","3770.2","3771.2","3774.6","3750.6","3765.6","-8","-4.6","22357","2524843.956","49557","",""
