"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"IFL3.CFX","20250603","3715.2","3713","3705","3730.8","3701.4","3716","3718.2","3","5.2","3576","398689.83","19028",""
"IFL3.CFX","20250530","3732.8","3732.6","3724.2","3726","3687.4","3715.2","3713","-17.4","-19.6","3855","428573.742","18255",""
"IFL3.CFX","20250529","3696.8","3697.8","3705","3753.2","3694.4","3732.8","3732.6","35","34.8","4972","556322.286","18896",""
"IFL3.CFX","20250528","3707.2","3703.8","3715","3715","3691.2","3696.8","3697.8","-7","-6","3082","342117.354","17594",""
"IFL3.CFX","20250527","3720.6","3717.8","3727","3727","3693.4","3707.2","3703.8","-10.6","-14","3544","394091.67","17535",""
"IFL3.CFX","20250526","3736","3743.2","3735.8","3742.8","3706.2","3720.6","3717.8","-22.6","-25.4","3956","442091.16","17017",""
"IFL3.CFX","20250523","3763.2","3764.6","3762.8","3788","3733.2","3736","3743.2","-28.6","-21.4","5281","596068.74","17165",""
"IFL3.CFX","20250522","3765.8","3765.4","3765","3771.2","3748.2","3763.2","3764.6","-2.2","-0.8","3531","398364.294","15638",""
"IFL3.CFX","20250521","3752.4","3749.8","3757.8","3778.2","3750.6","3765.8","3765.4","16","15.6","3725","421018.926","15514",""
"IFL3.CFX","20250520","3733.6","3728.8","3745","3760.2","3725.4","3752.4","3749.8","23.6","21","4201","471648.678","15418",""
"IFL3.CFX","20250519","3741.4","3743","3741.6","3741.6","3715","3733.6","3728.8","-9.4","-14.2","3954","441932.262","14437",""
"IFL3.CFX","20250516","3771.2","3769.4","3767.6","3775.8","3735.2","3741.4","3743","-28","-26.4","2967","333832.032","13209",""
"IFL3.CFX","20250515","3803.4","3796.6","3802.4","3804.4","3762","3771.2","3769.4","-25.4","-27.2","3433","389139.33","12676",""
"IFL3.CFX","20250514","3745","3744.6","3744.8","3822.4","3741","3803.4","3796.6","58.8","52","4996","565723.23","12997",""
"IFL3.CFX","20250513","3749.6","3746.4","3774","3774","3737.6","3745","3744.6","-1.4","-1.8","3075","345752.394","10865",""
"IFL3.CFX","20250512","3706.8","3705.2","3724.6","3756.4","3722.6","3749.6","3746.4","44.4","41.2","3543","397318.284","10741",""
