"ts_code","trade_date","close","pre_close","pre_settle","open","high","low","settle","change1","change2","vol","amount","oi","oi_chg","delv_settle"
"IHL1.CFX","20250530","2633.2","2644","2645.8","2641.6","2647.4","2613.4","2636","-12.6","-9.8","2070","163347.336","3117","",""
"IHL1.CFX","20250529","2644","2635","2636","2637.4","2661.8","2629.4","2645.8","8","9.8","2092","166113.114","3081","",""
"IHL1.CFX","20250528","2635","2638.6","2640","2645","2645","2631","2636","-5","-4","1210","95724.042","2430","",""
"IHL1.CFX","20250527","2638.6","2652.2","2650.8","2653","2658.8","2634.4","2640","-12.2","-10.8","1886","149689.836","2636","",""
"IHL1.CFX","20250526","2652.2","2664.8","2665","2662","2673.8","2644.2","2650.8","-12.8","-14.2","1584","126370.092","1894","",""
"IHL1.CFX","20250523","2664.8","2685","2684","2684.2","2696.4","2659.4","2665","-19.2","-19","1718","138071.34","2184","",""
"IHL1.CFX","20250522","2685","2682.4","2682","2679","2689.4","2668.2","2684","3","2","1001","80519.088","1565","",""
"IHL1.CFX","20250521","2682.4","2671","2670.6","2671","2693.2","2671","2682","11.8","11.4","1397","112507.962","1679","",""
"IHL1.CFX","20250520","2671","2661.8","2659","2665.6","2681.4","2661.6","2670.6","12","11.6","1097","87920.112","1262","",""
"IHL1.CFX","20250519","2661.8","2695.2","2693.4","2678","2678","2650","2659","-31.6","-34.4","1141","91012.392","1123","",""
"IHL1.CFX","20250516","2695.2","2723","2722.6","2720","2727","2687.4","2693.4","-27.4","-29.2","35488","2874259.578","54791","",""
"IHL1.CFX","20250515","2723","2737.6","2733.4","2731.2","2743.8","2716.8","2722.6","-10.4","-10.8","36205","2961931.092","56219","",""
"IHL1.CFX","20250514","2737.6","2688.2","2688","2691","2754","2688.6","2733.4","49.6","45.4","48329","3944215.29","61472","",""
"IHL1.CFX","20250513","2688.2","2686.6","2685.4","2691","2694.4","2681.2","2688","2.8","2.6","21914","1766433.966","48431","",""
"IHL1.CFX","20250512","2686.6","2666.2","2666.2","2680.2","2697","2665.6","2685.4","20.4","19.2","31684","2549347.476","50672","",""
"IHL1.CFX","20250509","2666.2","2664.8","2665","2659","2669.8","2658","2666.2","1.2","1.2","17832","1425380.388","43172","",""
"IHL1.CFX","20250508","2664.8","2646.4","2643","2641","2681","2640.4","2665","21.8","22","31258","2498193.078","47278","",""
"IHL1.CFX","20250507","2646.4","2629.6","2629","2657","2669.8","2635.2","2643","17.4","14","29460","2338440.408","46351","",""
"IHL1.CFX","20250506","2629.6","2609.2","2612","2620","2632.6","2613.2","2629","17.6","17","25377","1998284.946","44285","",""
"IHL1.CFX","20250430","2609.2","2621.2","2623.2","2622.4","2634.4","2608.8","2612","-14","-11.2","26366","2071282.938","44590","",""
"IHL1.CFX","20250429","2621.2","2628","2630.4","2625","2632.6","2617.8","2623.2","-9.2","-7.2","20683","1628146.86","43068","",""
"IHL1.CFX","20250428","2628","2628","2626.4","2625.8","2635.4","2611.4","2630.4","1.6","4","21403","1685857.602","42616","",""
"IHL1.CFX","20250425","2628","2635.8","2635.2","2640","2643.6","2620","2626.4","-7.2","-8.8","26636","2103798.312","44804","",""
"IHL1.CFX","20250424","2635.8","2627.4","2627.6","2630","2647.6","2625.8","2635.2","8.2","7.6","24156","1911042.618","43465","",""
"IHL1.CFX","20250423","2627.4","2637.4","2641.4","2644.8","2649","2622","2627.6","-14","-13.8","23296","1838399.082","43864","",""
"IHL1.CFX","20250422","2637.4","2631.4","2636.2","2629.8","2648.4","2629.8","2641.4","1.2","5.2","19683","1559060.226","42709","",""
"IHL1.CFX","20250421","2631.4","2643.8","2633","2628","2653","2627","2636.2","-1.6","3.2","23857","1889860.422","43953","",""
"IHL1.CFX","20250418","2643.8","2644.8","2644.8","2640","2649.6","2635","2644","-1","-0.8","12226","969201.432","17553","",""
"IHL1.CFX","20250417","2644.8","2629.8","2623.6","2622.8","2653","2622.2","2644.8","21.2","21.2","10558","835901.634","14318","",""
"IHL1.CFX","20250416","2629.8","2617.8","2615.6","2615","2638.8","2602.8","2623.6","14.2","8","9339","732517.338","12165","",""
"IHL1.CFX","20250415","2617.8","2618","2621","2612.4","2622.6","2605.2","2615.6","-3.2","-5.4","5621","440641.572","8604","",""
"IHL1.CFX","20250414","2618","2607","2606.2","2612.2","2630","2605","2621","11.8","14.8","3327","261732.558","5995","",""
"IHL1.CFX","20250411","2607","2596","2597.8","2604.2","2610.4","2584.4","2606.2","9.2","8.4","2446","190564.122","5306","",""
"IHL1.CFX","20250410","2596","2575.8","2574","2600","2616.8","2578","2597.8","22","23.8","3041","236910.912","5453","",""
"IHL1.CFX","20250409","2575.8","2520.8","2527.6","2504.8","2586","2504.8","2574","48.2","46.4","4466","341891.154","5606","",""
"IHL1.CFX","20250408","2520.8","2448.4","2441","2490.4","2542.6","2473.8","2527.6","79.8","86.6","4951","374038.938","5111","",""
"IHL1.CFX","20250407","2448.4","2662.6","2665.6","2551.8","2611.6","2406","2441","-217.2","-224.6","5072","381690.108","5537","",""
"IHL1.CFX","20250403","2662.6","2661.8","2661","2639","2677","2638.8","2665.6","1.6","4.6","1603","128083.716","3526","",""
"IHL1.CFX","20250402","2661.8","2666.6","2666.6","2664.4","2675.6","2657","2661","-4.8","-5.6","963","77032.722","3236","",""
"IHL1.CFX","20250401","2666.6","2672.4","2669.8","2675","2681","2664","2666.6","-3.2","-3.2","1009","80852.43","3294","",""
"IHL1.CFX","20250331","2672.4","2683.2","2686","2678.8","2697.8","2657.8","2669.8","-13.6","-16.2","2018","161979.402","3341","",""
"IHL1.CFX","20250328","2683.2","2694","2696.4","2699.2","2701.8","2674.6","2686","-13.2","-10.4","1704","137286.948","3296","",""
"IHL1.CFX","20250327","2694","2682.2","2684.6","2679.4","2713","2679.4","2696.4","9.4","11.8","1947","157368.042","3083","",""
"IHL1.CFX","20250326","2682.2","2697.2","2696.6","2697.2","2703.4","2679","2684.6","-14.4","-12","1517","122423.376","2785","",""
"IHL1.CFX","20250325","2697.2","2695","2693","2695.8","2702","2688.4","2696.6","4.2","3.6","1681","135859.014","2323","",""
"IHL1.CFX","20250324","2695","2674.6","2673.8","2679.8","2699.4","2678.8","2693","21.2","19.2","2431","196134.51","2399","",""
"IHL1.CFX","20250321","2674.6","2722.4","2720.4","2717.4","2725.2","2664","2673.8","-45.8","-46.6","29223","2362395.228","31631","",""
"IHL1.CFX","20250320","2722.4","2752.8","2750.2","2757.2","2757.2","2713.8","2720.4","-27.8","-29.8","18902","1545432.252","24389","",""
"IHL1.CFX","20250319","2752.8","2742","2743","2740.4","2762.6","2736.8","2750.2","9.8","7.2","11130","917329.896","17225","",""
"IHL1.CFX","20250318","2742","2740.2","2740.6","2753.4","2756.4","2740.4","2743","1.4","2.4","6245","514751.07","11910","",""
"IHL1.CFX","20250317","2740.2","2747.4","2741.8","2759","2763.8","2737.2","2740.6","-1.6","-1.2","7418","611594.646","10418","",""
"IHL1.CFX","20250314","2747.4","2665.6","2662.6","2670","2758.6","2670","2741.8","84.8","79.2","9342","764177.682","9614","",""
"IHL1.CFX","20250313","2665.6","2670.4","2671.4","2668.8","2684","2653","2662.6","-5.8","-8.8","4550","364471.74","6349","",""
"IHL1.CFX","20250312","2670.4","2675.8","2668.8","2677.6","2686","2663.2","2671.4","1.6","2.6","4393","352163.916","6089","",""
"IHL1.CFX","20250311","2675.8","2665.6","2665","2647.4","2676.4","2645.8","2668.8","10.8","3.8","3510","280343.88","5026","",""
"IHL1.CFX","20250310","2665.6","2685","2685.8","2687.8","2687.8","2650","2665","-20.2","-20.8","2558","204509.604","4115","",""
"IHL1.CFX","20250307","2685","2686.4","2690.8","2681","2698","2679","2685.8","-5.8","-5","2317","186675.156","3735","",""
"IHL1.CFX","20250306","2686.4","2639.4","2641.2","2650","2697.4","2650","2690.8","45.2","49.6","2874","230858.874","3972","",""
"IHL1.CFX","20250305","2639.4","2623","2622.8","2625.4","2645","2619","2641.2","16.6","18.4","2710","214029.618","3834","",""
"IHL1.CFX","20250304","2623","2630.6","2629.4","2618","2630","2613.4","2622.8","-6.4","-6.6","2194","172533.234","3321","",""
"IHL1.CFX","20250303","2630.6","2649.2","2650","2657.2","2663","2622","2629.4","-19.4","-20.6","2553","202514.208","2835","",""
"IHL1.CFX","20250228","2649.2","2689.4","2684","2675","2695.8","2644.4","2650","-34.8","-34","2726","218221.602","2918","",""
"IHL1.CFX","20250227","2689.4","2670.4","2668.8","2669","2689.4","2659.6","2684","20.6","15.2","1644","131782.566","1716","",""
"IHL1.CFX","20250226","2670.4","2650","2650.2","2656.2","2675.6","2650","2668.8","20.2","18.6","1217","97191.354","1417","",""
"IHL1.CFX","20250225","2650","2677.4","2674.4","2662.8","2669.2","2640.2","2650.2","-24.4","-24.2","782","62333.034","995","",""
"IHL1.CFX","20250224","2677.4","2689.8","2689.4","2689","2699.8","2665","2674.4","-12","-15","963","77488.206","939","",""
"IHL1.CFX","20250221","2689.8","2653","2652.4","2663","2695.2","2652","2689.4","37.4","37","51344","4126502.988","76683","",""
"IHL1.CFX","20250220","2653","2667","2668.2","2661","2663.4","2642.8","2652.4","-15.2","-15.8","34938","2779972.506","67493","",""
"IHL1.CFX","20250219","2667","2655","2655","2653.4","2680.8","2647.4","2668.2","12","13.2","38125","3048306.468","66548","",""
"IHL1.CFX","20250218","2655","2667.4","2661.6","2663.8","2681.6","2645","2655","-6.6","-6.6","43949","3514648.74","64055","",""
"IHL1.CFX","20250217","2667.4","2668.4","2664.2","2672","2679.4","2648","2661.6","3.2","-2.6","37564","3000242.49","67504","",""
"IHL1.CFX","20250214","2668.4","2648.8","2655.2","2649.8","2671","2640.2","2664.2","13.2","9","36938","2941397.958","65067","",""
"IHL1.CFX","20250213","2648.8","2644.8","2637.6","2641","2671.2","2638","2655.2","11.2","17.6","43161","3435042.096","69056","",""
"IHL1.CFX","20250212","2644.8","2616.8","2615.2","2620","2652","2610.6","2637.6","29.6","22.4","34560","2724238.254","65329","",""
"IHL1.CFX","20250211","2616.8","2626","2626.2","2626.6","2632.4","2609","2615.2","-9.4","-11","26323","2067097.458","64299","",""
"IHL1.CFX","20250210","2626","2617","2603.4","2620","2635.4","2611","2626.2","22.6","22.8","29605","2330319.744","64770","",""
"IHL1.CFX","20250207","2617","2583.8","2582.8","2582","2635.4","2573.6","2603.4","34.2","20.6","57475","4491696.516","73557","",""
"IHL1.CFX","20250206","2583.8","2559","2559.2","2561.8","2593","2555.6","2582.8","24.6","23.6","33982","2624001.192","65235","",""
"IHL1.CFX","20250205","2559","2569.8","2583.8","2588","2593","2552.6","2559.2","-24.8","-24.6","31885","2454185.124","65792","",""
"IHL1.CFX","20250127","2569.8","2591","2589.2","2595.2","2603.8","2568","2583.8","-19.4","-5.4","34263","2660553.576","65576","",""
"IHL1.CFX","20250124","2591","2570","2570.4","2568.4","2607","2566.6","2589.2","20.6","18.8","43896","3410031.696","68912","",""
"IHL1.CFX","20250123","2570","2553.4","2550.2","2574.6","2616.2","2564.6","2570.4","19.8","20.2","56951","4419110.142","73590","",""
"IHL1.CFX","20250122","2553.4","2589.2","2588.4","2585","2586","2542.2","2550.2","-35","-38.2","38051","2918360.25","70283","",""
"IHL1.CFX","20250121","2589.2","2593","2593.8","2600.6","2604.4","2581.8","2588.4","-4.6","-5.4","28298","2201436.588","63966","",""
