"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"IHL2.CFX","20250603","2629.6","2630.4","2624","2644","2617.6","2632.8","2633.4","2.4","3","7469","589670.838","24275",""
"IHL2.CFX","20250530","2639.2","2640.8","2633.6","2642","2608.6","2629.6","2630.4","-11.2","-10.4","8742","688323.492","23301",""
"IHL2.CFX","20250529","2629","2629.6","2634.4","2657.8","2624","2639.2","2640.8","9.6","11.2","9684","767713.914","24859",""
"IHL2.CFX","20250528","2632","2633.8","2636.6","2637","2625","2629","2629.6","-4.8","-4.2","5560","438808.86","22839",""
"IHL2.CFX","20250527","2646.2","2644.2","2645","2653","2628.6","2632","2633.8","-12.2","-10.4","7361","582922.494","23516",""
"IHL2.CFX","20250526","2655.6","2659.2","2650","2667.2","2637.2","2646.2","2644.2","-13","-15","8678","690305.262","22627",""
"IHL2.CFX","20250523","2677.2","2677.6","2675","2689.6","2652.4","2655.6","2659.2","-22","-18.4","8596","688825.188","22777",""
"IHL2.CFX","20250522","2676.2","2675.4","2673","2683.4","2661.8","2677.2","2677.6","1.8","2.2","5988","480362.574","21559",""
"IHL2.CFX","20250521","2663.6","2664.6","2668.8","2686.6","2664.2","2676.2","2675.4","11.6","10.8","6403","514232.526","21313",""
"IHL2.CFX","20250520","2653.2","2652","2658.8","2676.6","2656.2","2663.6","2664.6","11.6","12.6","6360","508479.336","22010",""
"IHL2.CFX","20250519","2661.6","2660","2660","2664.6","2645.2","2653.2","2652","-6.8","-8","6480","515601.996","21241",""
"IHL2.CFX","20250516","2691.2","2690.6","2693","2695.2","2654.6","2661.6","2660","-29","-30.6","8897","711997.74","22327",""
"IHL2.CFX","20250515","2707","2700.4","2702.8","2713","2685","2691.2","2690.6","-9.2","-9.8","6992","565301.844","21107",""
"IHL2.CFX","20250514","2654.2","2654","2654.8","2719.2","2654.4","2707","2700.4","53","46.4","10349","834438.216","21973",""
"IHL2.CFX","20250513","2653.2","2651.6","2666","2666","2648.4","2654.2","2654","2.6","2.4","4303","342570.804","18624",""
"IHL2.CFX","20250512","2632","2632","2640","2663","2632.6","2653.2","2651.6","21.2","19.6","5559","441637.362","19398",""
"IHL2.CFX","20250509","2631.6","2631.2","2628.6","2634.4","2625","2632","2632","0.8","0.8","2939","231909.834","17798",""
"IHL2.CFX","20250508","2614","2610.4","2607.8","2645.8","2606.4","2631.6","2631.2","21.2","20.8","5919","467146.038","18623",""
"IHL2.CFX","20250507","2598.4","2597.2","2624.6","2636","2604","2614","2610.4","16.8","13.2","5485","430117.746","18645",""
"IHL2.CFX","20250506","2578","2581","2590.6","2600.6","2582.6","2598.4","2597.2","17.4","16.2","3729","290091.918","17811",""
"IHL2.CFX","20250430","2589.8","2590.8","2590.8","2601.4","2578","2578","2581","-12.8","-9.8","3669","284761.254","17493",""
"IHL2.CFX","20250429","2594.6","2597","2594.6","2598.6","2585.6","2589.8","2590.8","-7.2","-6.2","2672","207741.48","16917",""
"IHL2.CFX","20250428","2595.8","2593.6","2593.4","2602.4","2578.8","2594.6","2597","1","3.4","3016","234544.14","16881",""
"IHL2.CFX","20250425","2602.6","2602","2607","2610","2587.6","2595.8","2593.6","-6.2","-8.4","3722","290299.416","17367",""
"IHL2.CFX","20250424","2595.6","2594.6","2599.6","2614","2593","2602.6","2602","8","7.4","3713","290044.806","17053",""
"IHL2.CFX","20250423","2604.8","2608.6","2610","2616.4","2589.2","2595.6","2594.6","-13","-14","4149","323345.142","17421",""
"IHL2.CFX","20250422","2599.8","2604","2600","2614.6","2598","2604.8","2608.6","0.8","4.6","3667","286879.902","17190",""
"IHL2.CFX","20250421","2633.4","2599.8","2597.4","2619","2595.6","2599.8","2604","0","4.2","4594","359416.386","17598",""
"IHL2.CFX","20250418","2633.6","2634.6","2627","2637.6","2623","2633.4","2633","-1.2","-1.6","25557","2017164.402","44395",""
"IHL2.CFX","20250417","2620","2612.2","2614.8","2642.6","2612.4","2633.6","2634.6","21.4","22.4","28211","2225091.798","44853",""
"IHL2.CFX","20250416","2608.8","2606.4","2605","2627.2","2591.4","2620","2612.2","13.6","5.8","31223","2438587.392","46398",""
"IHL2.CFX","20250415","2606.6","2610","2605","2611.6","2595","2608.8","2606.4","-1.2","-3.6","21919","1711360.626","45206",""
