"ts_code","trade_date","close","pre_close","pre_settle","open","high","low","settle","change1","change2","vol","amount","oi","oi_chg","delv_settle"
"IML.CFX","20250530","5966","6031","6019","6001.2","6004.2","5932","5957.4","-53","-61.6","130165","15513936.428","168201","",""
"IML.CFX","20250529","6031","5899","5892.6","5914.8","6031.4","5906","6019","138.4","126.4","166397","19922561.444","187832","",""
"IML.CFX","20250528","5899","5915","5918","5925","5944.8","5873.6","5892.6","-19","-25.4","120232","14186425.448","175258","",""
"IML.CFX","20250527","5915","5925","5921.2","5918","5936","5861.2","5918","-6.2","-3.2","140778","16603735.648","186517","",""
"IML.CFX","20250526","5925","5872","5896.2","5880","5941.4","5871","5921.2","28.8","25","133893","15827248.004","181503","",""
"IML.CFX","20250523","5872","5950","5949.2","5949","5998","5871","5896.2","-77.2","-53","167101","19846785.764","194014","",""
"IML.CFX","20250522","5950","6000.6","5998.6","5986","6037.8","5930","5949.2","-48.6","-49.4","148619","17742710.568","195203","",""
"IML.CFX","20250521","6000.6","6019.4","6011.6","6009","6018","5974","5998.6","-11","-13","111291","13346719.268","180860","",""
"IML.CFX","20250520","6019.4","5975.4","5966.6","5984","6028","5943","6011.6","52.8","45","124540","14915575.332","184920","",""
"IML.CFX","20250519","5975.4","6081.4","5948.8","5940","5976.8","5870.2","5966.6","26.6","17.8","140984","16713535.24","192261","",""
"IML.CFX","20250516","6081.4","6058.2","6059.4","6054.6","6102.6","6042","6081.5","22","22.1","20693","2515453.432","0","",""
"IML.CFX","20250515","6058.2","6156.6","6141.6","6139","6143.8","6045.8","6059.4","-83.4","-82.2","33911","4124346.892","23664","",""
"IML.CFX","20250514","6156.6","6126.8","6126.4","6138","6204.4","6096","6141.6","30.2","15.2","49231","6044768.008","39302","",""
"IML.CFX","20250513","6126.8","6151.6","6137.2","6160","6190","6111.2","6126.4","-10.4","-10.8","41265","5068274.256","46636","",""
"IML.CFX","20250512","6151.6","6056.2","6057.6","6119.6","6153","6084.4","6137.2","94","79.6","40716","4984593.32","51530","",""
"IML.CFX","20250509","6056.2","6127.6","6123.4","6112","6119.2","6022.2","6057.6","-67.2","-65.8","39573","4797618.188","58057","",""
"IML.CFX","20250508","6127.6","6065.2","6052.4","6062.6","6147","6055","6123.4","75.2","71","39672","4851051.932","58969","",""
"IML.CFX","20250507","6065.2","6059.6","6052","6161","6190.6","6026.2","6052.4","13.2","0.4","51450","6273633.516","66811","",""
"IML.CFX","20250506","6059.6","5905.4","5914.8","5955","6063","5954","6052","144.8","137.2","38439","4628850.952","60416","",""
"IML.CFX","20250430","5905.4","5868","5864.8","5875.6","5932.8","5870.2","5914.8","40.6","50","36606","4327484.224","61187","",""
"IML.CFX","20250429","5868","5828.2","5833","5814.8","5884.4","5795.2","5864.8","35","31.8","38130","4462991.872","63293","",""
"IML.CFX","20250428","5828.2","5885","5884.2","5885.2","5893.4","5797.2","5833","-56","-51.2","41309","4819669.38","68029","",""
"IML.CFX","20250425","5885","5866","5862.2","5883","5939.8","5842","5884.2","22.8","22","46320","5460761.448","67109","",""
"IML.CFX","20250424","5866","5915.8","5919.4","5910.2","5923.2","5831.2","5862.2","-53.4","-57.2","44305","5206753.464","66410","",""
"IML.CFX","20250423","5915.8","5870","5882.6","5918.8","5974.4","5890.8","5919.4","33.2","36.8","48928","5802004.4","67895","",""
"IML.CFX","20250422","5870","5867.4","5869.6","5870","5904.8","5835.2","5882.6","0.4","13","42827","5025662.456","67656","",""
"IML.CFX","20250421","5867.4","5826.4","5766.2","5734","5883.6","5701.6","5869.6","101.2","103.4","52420","6110095.94","68284","",""
"IML.CFX","20250418","5826.4","5845.8","5859.2","5844.6","5860","5793.4","5826.48","-32.8","-32.72","22683","2638464.696","0","",""
"IML.CFX","20250417","5845.8","5819.8","5807.6","5798.8","5905","5795.8","5859.2","38.2","51.6","44139","5181009.528","29741","",""
"IML.CFX","20250416","5819.8","5888","5879.4","5876.6","5879.4","5756","5807.6","-59.6","-71.8","64059","7450637.108","50652","",""
"IML.CFX","20250415","5888","5879.8","5891.4","5887.8","5913","5842.6","5879.4","-3.4","-12","55619","6531233.544","61041","",""
"IML.CFX","20250414","5879.8","5835","5851.6","5898.6","5951.4","5875.4","5891.4","28.2","39.8","61023","7206506.52","70795","",""
"IML.CFX","20250411","5835","5744.8","5767","5722","5913","5713.6","5851.6","68","84.6","81375","9473861.812","86117","",""
"IML.CFX","20250410","5744.8","5594.2","5610","5750","5865.8","5720","5767","134.8","157","96804","11205316.688","92361","",""
"IML.CFX","20250409","5594.2","5462.4","5414","5401.2","5643.8","5186.2","5610","180.2","196","141240","15422834.016","106818","",""
"IML.CFX","20250408","5462.4","5554","5554","5580","5624","5339.2","5414","-91.6","-140","145399","15922788.96","113999","",""
"IML.CFX","20250407","5554","6168.4","6171","5862","5975.4","5554","5554","-617","-617","110834","12620303.804","107063","",""
"IML.CFX","20250403","6168.4","6239","6236.6","6190","6274","6131.8","6171","-68.2","-65.6","91132","11289477.844","106332","",""
"IML.CFX","20250402","6239","6204","6208","6198.8","6283","6198.8","6236.6","31","28.6","59902","7481962.684","99001","",""
"IML.CFX","20250401","6204","6184","6175","6228","6260","6193.2","6208","29","33","67752","8431773.372","97196","",""
"IML.CFX","20250331","6184","6212.6","6230.6","6184","6225.6","6107.6","6175","-46.6","-55.6","98572","12153330.58","114755","",""
"IML.CFX","20250328","6212.6","6281.4","6283.8","6283","6311.6","6201.8","6230.6","-71.2","-53.2","80638","10073067.24","102072","",""
"IML.CFX","20250327","6281.4","6261.8","6275.6","6253.2","6340","6180.8","6283.8","5.8","8.2","88580","11102394.076","113780","",""
"IML.CFX","20250326","6261.8","6250.8","6238.6","6250","6322","6246.6","6275.6","23.2","37","76006","9559712.76","101329","",""
"IML.CFX","20250325","6250.8","6280","6243","6274","6306.6","6205.2","6238.6","7.8","-4.4","90952","11371423.644","108413","",""
"IML.CFX","20250324","6280","6414.2","6313.2","6325","6330.2","6194.4","6243","-33.2","-70.2","97377","12202625.488","106368","",""
"IML.CFX","20250321","6414.2","6534.2","6537.6","6522.6","6530.4","6402.2","6414.83","-123.4","-122.77","55018","7121718.416","0","",""
"IML.CFX","20250320","6534.2","6550","6537.2","6540","6582.8","6493.8","6537.6","-3","0.4","86603","11331314.592","64278","",""
"IML.CFX","20250319","6550","6577","6581.6","6560","6584","6506","6537.2","-31.6","-44.4","115152","15070605.436","98474","",""
"IML.CFX","20250318","6577","6543.4","6553","6566.8","6634.4","6555.6","6581.6","24","28.6","113170","14913529.724","120484","",""
"IML.CFX","20250317","6543.4","6562.8","6552.8","6563","6573","6523.2","6553","-9.4","0.2","117429","15381744.816","127485","",""
"IML.CFX","20250314","6562.8","6426","6404","6428.4","6568","6389.2","6552.8","158.8","148.8","190307","24704875.94","148876","",""
"IML.CFX","20250313","6426","6513.8","6528.6","6507","6520.6","6360.2","6404","-102.6","-124.6","189598","24351809.352","165394","",""
"IML.CFX","20250312","6513.8","6490","6466.8","6525","6587","6482.2","6528.6","47","61.8","165499","21610119.708","161880","",""
"IML.CFX","20250311","6490","6427.4","6429","6371","6491","6365","6466.8","61","37.8","170671","21971355.832","165483","",""
"IML.CFX","20250310","6427.4","6452.8","6443.6","6458","6476.2","6373.6","6429","-16.2","-14.6","154299","19810843.892","162826","",""
"IML.CFX","20250307","6452.8","6475.8","6483","6455","6500","6417.8","6443.6","-30.2","-39.4","165679","21414375.784","169906","",""
"IML.CFX","20250306","6475.8","6313","6306.6","6352.8","6504.4","6352.2","6483","169.2","176.4","187916","24226206.708","179624","",""
"IML.CFX","20250305","6313","6279.2","6289.8","6285","6329.8","6233.2","6306.6","23.2","16.8","182519","22910141.26","181491","",""
"IML.CFX","20250304","6279.2","6215.4","6222.8","6184.8","6306","6169","6289.8","56.4","67","179630","22493144.216","184657","",""
"IML.CFX","20250303","6215.4","6230.4","6230","6250","6324.6","6196.4","6222.8","-14.6","-7.2","192032","24061841.196","187317","",""
"IML.CFX","20250228","6230.4","6415","6391","6387.8","6397","6208","6230","-160.6","-161","216120","27160429.82","198135","",""
"IML.CFX","20250227","6415","6420.8","6412.8","6412.6","6453.6","6324.6","6391","2.2","-21.8","208253","26590168.952","194417","",""
"IML.CFX","20250226","6420.8","6355.4","6358.6","6376.6","6465","6322.2","6412.8","62.2","54.2","212290","27159549.152","201621","",""
"IML.CFX","20250225","6355.4","6366.6","6356","6309.4","6405.2","6292","6358.6","-0.6","2.6","180068","22892829.068","195526","",""
"IML.CFX","20250224","6366.6","6442","6403.2","6380","6409.8","6327.8","6356","-36.6","-47.2","172390","21958717.592","195891","",""
"IML.CFX","20250221","6442","6310","6319.2","6339.2","6456.2","6310.2","6442.56","122.8","123.36","19562","2497824.532","0","",""
"IML.CFX","20250220","6310","6279.8","6270.2","6279","6342.4","6256.6","6319.2","39.8","49","31628","3979490.52","23916","",""
"IML.CFX","20250219","6279.8","6151.6","6144.6","6149","6286.8","6138","6270.2","135.2","125.6","41506","5167368.352","34904","",""
"IML.CFX","20250218","6151.6","6262.8","6250.4","6245","6281.2","6108","6144.6","-98.8","-105.8","46928","5822073.92","44730","",""
"IML.CFX","20250217","6262.8","6240.2","6236","6276.4","6298","6213.6","6250.4","26.8","14.4","51573","6458275.832","51728","",""
"IML.CFX","20250214","6240.2","6215.6","6221.6","6204.6","6257","6172.2","6236","18.6","14.4","45685","5686334.756","55171","",""
"IML.CFX","20250213","6215.6","6268","6252.6","6266.2","6269","6197","6221.6","-37","-31","50406","6280786.888","58774","",""
"IML.CFX","20250212","6268","6179.8","6176.8","6161","6271","6161","6252.6","91.2","75.8","46880","5836657.464","63530","",""
"IML.CFX","20250211","6179.8","6181.8","6188","6174.8","6199","6115.4","6176.8","-8.2","-11.2","42998","5294136.056","62606","",""
"IML.CFX","20250210","6181.8","6127.8","6099.6","6145","6205.2","6115.4","6188","82.2","88.4","52753","6504227.064","68776","",""
"IML.CFX","20250207","6127.8","6024","6020.4","6030.4","6205.8","6021","6099.6","107.4","79.2","67964","8320082.288","80725","",""
"IML.CFX","20250206","6024","5866","5856.6","5855.8","6043.2","5830.8","6020.4","167.4","163.8","50786","6053215.208","76498","",""
"IML.CFX","20250205","5866","5825.8","5854","5899","5932.8","5830","5856.6","12","2.6","52004","6116900.284","76887","",""
"IML.CFX","20250127","5825.8","5945","5933.6","5950","5979.8","5819.2","5854","-107.8","-79.6","50825","5982353.752","78834","",""
"IML.CFX","20250124","5945","5809","5822.2","5810","5951","5810","5933.6","122.8","111.4","61102","7199063.064","77008","",""
"IML.CFX","20250123","5809","5843","5830.4","5888","5989","5807.2","5822.2","-21.4","-8.2","69097","8151559.944","87233","",""
"IML.CFX","20250122","5843","5881.6","5865","5853.8","5863.8","5787.6","5830.4","-22","-34.6","47494","5535315.116","73841","",""
"IML.CFX","20250121","5881.6","5848.6","5850","5875.4","5900.2","5801","5865","31.6","15","49826","5826880.144","77039","",""
"IML.CFX","20250120","5848.6","5851.8","5820","5860","5912.2","5830","5850","28.6","30","47327","5557259.624","75643","",""
"IML.CFX","20250117","5851.8","5797","5796","5780","5877","5761.2","5852","55.8","56","28776","3344588.444","0","",""
"IML.CFX","20250116","5797","5775.4","5776.6","5790.2","5919.8","5751.2","5796","20.4","19.4","55810","6505658.456","34348","",""
"IML.CFX","20250115","5775.4","5819","5802.6","5808.2","5818","5747.6","5776.6","-27.2","-26","61620","7119678.244","53499","",""
"IML.CFX","20250114","5819","5557.6","5547","5580","5827.2","5552.6","5802.6","272","255.6","93319","10666406.228","76862","",""
"IML.CFX","20250113","5557.6","5530.4","5561.4","5480.4","5601.2","5456","5547","-3.8","-14.4","85697","9482430.816","88351","",""
"IML.CFX","20250110","5530.4","5640.2","5652.2","5632","5711","5528","5561.4","-121.8","-90.8","80703","9072711.784","95843","",""
"IML.CFX","20250109","5640.2","5639.6","5659.4","5625.8","5696.2","5617.2","5652.2","-19.2","-7.2","70728","8009165.42","96726","",""
"IML.CFX","20250108","5639.6","5672.8","5659.6","5660","5698","5476.2","5659.4","-20","-0.2","116777","13066492.512","113407","",""
"IML.CFX","20250107","5672.8","5597.2","5592.4","5610.2","5682.8","5568.8","5659.6","80.4","67.2","85029","9571787.98","106911","",""
"IML.CFX","20250106","5597.2","5625","5638.4","5620","5679.8","5558","5592.4","-41.2","-46","96653","10857746.336","112286","",""
"IML.CFX","20250103","5625","5778","5774.2","5802","5806","5601.4","5638.4","-149.2","-135.8","114034","13016594.18","118244","",""
"IML.CFX","20250102","5778","5926.4","5955.8","5926.6","5964.8","5717.4","5774.2","-177.8","-181.6","102541","12026367.604","114805","",""
"IML.CFX","20241231","5926.4","6133.6","6130","6151","6157.8","5924.4","5955.8","-203.6","-174.2","95469","11508278.264","111907","",""
"IML.CFX","20241230","6133.6","6143.6","6153.2","6135.2","6179.8","6083","6130","-19.6","-23.2","81610","10009607.948","104973","",""
"IML.CFX","20241227","6143.6","6131","6136.8","6136.6","6237","6100.2","6153.2","6.8","16.4","85923","10619696.548","110259","",""
"IML.CFX","20241226","6131","6080","6064.4","6075","6163","6075","6136.8","66.6","72.4","68659","8422357.568","105675","",""
"IML.CFX","20241225","6080","6130.2","6112.2","6113.2","6116.4","6013.4","6064.4","-32.2","-47.8","100031","12117758.328","115337","",""
"IML.CFX","20241224","6130.2","6063","6072","6088","6137.6","6045.6","6112.2","58.2","40.2","95778","11682207.636","110405","",""
"IML.CFX","20241223","6063","6278.4","6223.4","6220.2","6226","6056.4","6072","-160.4","-151.4","100541","12318985.72","115487","",""
"IML.CFX","20241220","6278.4","6218","6207.2","6217.8","6313","6196","6278.63","71.2","71.43","44472","5565188.744","0","",""
"IML.CFX","20241219","6218","6189.8","6194.6","6131.8","6231.6","6096","6207.2","23.4","12.6","96333","11865979.456","52443","",""
"IML.CFX","20241218","6189.8","6143.6","6152","6169.8","6243","6126","6194.6","37.8","42.6","116069","14368035.856","81088","",""
"IML.CFX","20241217","6143.6","6263.4","6259.8","6249.8","6267.2","6138","6152","-116.2","-107.8","144996","17951492.268","113630","",""
"IML.CFX","20241216","6263.4","6359","6366.4","6361","6364.8","6242.4","6259.8","-103","-106.6","115176","14485543.616","113214","",""
"IML.CFX","20241213","6359","6477.8","6479.2","6419","6442.8","6327.8","6366.4","-120.2","-112.8","164655","21004754.672","131621","",""
