"ts_code","trade_date","pre_close","pre_settle","open","high","low","close","settle","change1","change2","vol","amount","oi","oi_chg"
"IML2.CFX","20250603","5719.8","5710.4","5708.2","5776.8","5694","5745","5751.8","34.6","41.4","32898","3781231.98","88249",""
"IML2.CFX","20250530","5785.2","5774.2","5750","5759.6","5688.4","5719.8","5710.4","-54.4","-63.8","36342","4153236.3","87400",""
"IML2.CFX","20250529","5655","5645.8","5665.8","5791","5658","5785.2","5774.2","139.4","128.4","50589","5811622.856","93417",""
"IML2.CFX","20250528","5666.8","5668","5675","5692","5628.2","5655","5645.8","-13","-22.2","27785","3140264.772","84794",""
"IML2.CFX","20250527","5669.8","5667.2","5658","5685.4","5606","5666.8","5668","-0.4","0.8","34062","3846009.748","85500",""
"IML2.CFX","20250526","5633.8","5657","5651.8","5689.8","5620.2","5669.8","5667.2","12.8","10.2","32559","3686155.956","84096",""
"IML2.CFX","20250523","5708.2","5706.8","5711.6","5751","5633.6","5633.8","5657","-73","-49.8","42159","4802311.104","87590",""
"IML2.CFX","20250522","5758","5755","5740","5786.8","5687","5708.2","5706.8","-46.8","-48.2","35004","4006596.36","86126",""
"IML2.CFX","20250521","5776.4","5768.2","5764.8","5770","5733","5758","5755","-10.2","-13.2","25475","2931355.948","81560",""
"IML2.CFX","20250520","5749","5741.8","5755","5789","5708.4","5776.4","5768.2","34.6","26.4","31382","3607723.528","81198",""
"IML2.CFX","20250519","5730","5741.8","5731","5754","5655","5749","5741.8","7.2","0","34550","3944210.788","84527",""
"IML2.CFX","20250516","5750.8","5744","5749.8","5786","5730","5730","5741.8","-14","-2.2","30839","3552943.524","81845",""
"IML2.CFX","20250515","5847","5828.8","5833","5835","5725","5750.8","5744","-78","-84.8","32707","3770184.344","78852",""
"IML2.CFX","20250514","5802.2","5804","5815.2","5905.4","5779.2","5847","5828.8","43","24.8","39828","4641524.284","82294",""
"IML2.CFX","20250513","5843.4","5832","5883","5888","5790","5802.2","5804","-29.8","-28","28187","3283920.564","75785",""
"IML2.CFX","20250512","5759.6","5758.8","5825","5845.2","5789.6","5843.4","5832","84.6","73.2","29274","3407770.688","75460",""
"IML2.CFX","20250509","5830","5828.8","5820","5825","5729.6","5759.6","5758.8","-69.2","-70","23802","2745618.784","73420",""
"IML2.CFX","20250508","5774","5766.4","5765.2","5858","5765","5830","5828.8","63.6","62.4","23819","2775643.556","71644",""
"IML2.CFX","20250507","5774","5768.4","5865","5911","5744","5774","5766.4","5.6","-2","28412","3305790.888","73780",""
"IML2.CFX","20250506","5627.6","5640.2","5678","5775.4","5678","5774","5768.4","133.8","128.2","21597","2480056.164","69401",""
"IML2.CFX","20250430","5610","5607","5610.6","5663.6","5610.6","5627.6","5640.2","20.6","33.2","20491","2312948.004","69465",""
"IML2.CFX","20250429","5571.4","5574.6","5560.2","5627.8","5543.6","5610","5607","35.4","32.4","18463","2066493.86","69978",""
"IML2.CFX","20250428","5624.8","5623.8","5610.4","5630","5542.8","5571.4","5574.6","-52.4","-49.2","19161","2136577.68","71488",""
"IML2.CFX","20250425","5604","5599.2","5615","5676","5582.6","5624.8","5623.8","25.6","24.6","24444","2752821.776","71809",""
"IML2.CFX","20250424","5652.2","5656.2","5660.2","5660.2","5568.4","5604","5599.2","-52.2","-57","22261","2498187.444","72504",""
"IML2.CFX","20250423","5599.6","5613.6","5640","5705","5626","5652.2","5656.2","38.6","42.6","22679","2567855.92","72127",""
"IML2.CFX","20250422","5601.2","5600.8","5599","5632.8","5565","5599.6","5613.6","-1.2","12.8","22046","2467919.816","73398",""
"IML2.CFX","20250421","5642","5503.8","5472","5612.8","5440.8","5601.2","5600.8","97.4","97","25031","2784358.656","75346",""
"IML2.CFX","20250418","5653.8","5672.6","5649","5699","5593.8","5642","5670.4","-30.6","-2.2","150566","16984659.324","168687",""
"IML2.CFX","20250417","5603","5594.4","5588","5715","5578","5653.8","5672.6","59.4","78.2","156019","17708660.504","168300",""
"IML2.CFX","20250416","5680.4","5673.2","5660","5667.8","5554.6","5603","5594.4","-70.2","-78.8","156339","17517610.76","171071",""
"IML2.CFX","20250415","5693","5702","5689.8","5722","5637","5680.4","5673.2","-21.6","-28.8","126870","14389164.732","164742",""
"IML2.CFX","20250414","5672.2","5685.4","5733","5769.8","5690","5693","5702","7.6","16.6","133293","15258459.724","162218",""
"IML2.CFX","20250411","5578.2","5598","5555","5746.6","5545","5672.2","5685.4","74.2","87.4","192909","21797306.96","173299",""
"IML2.CFX","20250410","5429.6","5451","5550.4","5701.2","5549","5578.2","5598","127.2","147","222566","25035422.392","174420",""
"IML2.CFX","20250409","5313.6","5270.4","5202.2","5488","5053.2","5429.6","5451","159.2","180.6","307215","32641643","184548",""
"IML2.CFX","20250408","5432.6","5432.6","5500","5500.2","5202","5313.6","5270.4","-119","-162.2","277947","29694043.732","191362",""
"IML2.CFX","20250407","6031.8","6036.2","5749","5838.8","5432.6","5432.6","5432.6","-603.6","-603.6","194726","21684042.812","166036",""
